Name,Team,Pos,Injury / Surgery Date,Injury / Surgery,Status,IL Retro Date,Eligible to Return,Return Date,Latest Update
Charlie Morton,TBR,SP,08/09/20,Shoulder inflammation,Active roster,08/10/20,08/20/20,09/02/20,Activated
Ronald Acuña Jr.,ATL,OF,08/10/20,Wrist inflammation,Active roster,08/12/20,08/22/20,08/25/20,Activated
Jorge López,BAL,RP,08/10/20,COVID-19 protocol,Active roster,08/10/20,,08/15/20,Activated
Leury García,CHW,INF/OF,08/10/20,Sprained thumb,Active roster,08/11/20,09/25/20,09/29/20,Activated
C.J. Cron,DET,1B,08/10/20,Sprained knee,45-Day IL,08/11/20,09/25/20,09/28/20,Out for 2020 season
Robinson Chirinos,TEX,C,08/10/20,Ankle soreness,Active roster,08/11/20,08/21/20,08/24/20,Activated
Sean Doolittle,WSN,RP,08/10/20,Knee inflammation,,08/11/20,08/21/20,08/26/20,Activated
Jeremy Beasley,ARI,RP,08/11/20,Strained shoulder,45-Day IL,08/13/20,09/27/20,09/28/20,Out for 2020 season
Jose Iglesias,BAL,SS,08/11/20,Strained quad,Active roster,08/16/20,08/26/20,08/27/20,Activated
John Means,BAL,SP,08/11/20,COVID-19 protocol,Active roster,08/11/20,,08/15/20,Activated
Andrew Benintendi,BOS,OF,08/11/20,Strained rib cage,45-Day IL,08/12/20,09/26/20,09/28/20,Out for 2020 season
Ian Hamilton,CHW,RP,08/11/20,Shoulder soreness,Player Pool,08/12/20,08/22/20,08/22/20,Activated
Michael Brantley,HOU,OF,08/11/20,Strained quad,Active roster,08/12/20,08/22/20,08/22/20,Activated
Foster Griffin,KCR,RP,08/11/20,Tommy John surgery,45-Day IL,07/28/20,09/11/20,09/28/20,No timetable for return
Cody Stashak,MIN,RP,08/11/20,Lower back inflammation,Active roster,08/12/20,08/22/20,09/07/20,Activated
Aaron Judge,NYY,OF,08/11/20,Strained calf,,08/12/20,08/22/20,08/25/20,Activated
Adam Haseley,PHI,OF,08/11/20,Sprained wrist,Active roster,08/12/20,08/22/20,08/22/20,Activated
Andrew Kittredge,TBR,RP,08/11/20,Sprained elbow,45-Day IL,08/12/20,09/26/20,09/28/20,No timetable for return
Edinson Volquez,TEX,RP,08/11/20,Strained oblique,45-Day IL,08/12/20,09/26/20,09/28/20,No timetable for return
Nick Goody,TEX,RP,08/11/20,Back spasms,Active roster,08/12/20,08/22/20,08/26/20,Activated
Luke Farrell,TEX,RP,08/11/20,COVID-19 protocol,Player Pool,08/11/20,,09/01/20,Activated
Will Smith,LAD,C,08/12/20,Neck inflammation,Active roster,08/13/20,08/23/20,08/23/20,Activated
Justin Grimm,MIL,RP,08/12/20,Blister on right hand,Released,08/13/20,08/23/20,08/27/20,Activated
Brett Martin,TEX,RP,08/12/20,Rotator cuff inflammation,Active roster,08/13/20,08/23/20,09/01/20,Activated
Mike Morin,MIA,RP,08/13/20,Elbow discomfort,10-Day IL,08/14/20,08/24/20,09/28/20,No timetable for return
David Peterson,NYM,SP,08/13/20,Shoulder fatigue,Active roster,08/15/20,08/25/20,08/28/20,Activated
Nick Senzel,CIN,OF,08/14/20,Undisclosed,Active roster,08/19/20,,09/14/20,Activated
Iván Nova,DET,SP,08/14/20,Triceps tendinitis,45-Day IL,08/15/20,09/29/20,09/28/20,Out for 2020 season
Nestor Cortes,SEA,RP,08/14/20,Elbow impingement,45-Day IL,08/15/20,09/29/20,09/28/20,Out for 2020 season
José Alvarado,TBR,RP,08/14/20,Shoulder inflammation,Active roster,08/15/20,09/29/20,10/11/20,Activated
Tyler Chatwood,CHC,SP,08/15/20,Back tightness,,08/13/20,08/23/20,08/25/20,Activated
Jakob Junis,KCR,SP,08/15/20,Back spasms,,08/13/20,08/23/20,08/26/20,Activated
DJ LeMahieu,NYY,2B,08/15/20,Sprained thumb,Active roster,08/16/20,08/26/20,08/29/20,Activated
Burch Smith,OAK,RP,08/15/20,Strained forearm,45-Day IL,08/16/20,09/30/20,09/28/20,Out for 2020 season
Francisco Mejía,SDP,C,08/15/20,Thumb contusion,Active roster,08/16/20,08/26/20,09/16/20,Activated
Bo Bichette,TOR,SS,08/15/20,Strained knee,Active roster,08/16/20,08/26/20,09/12/20,Activated
Steven Souza Jr.,CHC,OF,08/16/20,Strained hamstring,Active roster,08/17/20,08/27/20,09/01/20,Activated
Salvador Perez,KCR,C,08/16/20,Eye central serous chorioretinopathy,Active roster,08/18/20,08/28/20,09/11/20,Activated
Edwin Ríos,LAD,INF/OF,08/16/20,Strained hamstring,Active roster,08/17/20,08/27/20,09/01/20,Activated
Brian Moran,MIA,RP,08/16/20,Patellar tendinitis,45-Day IL,08/17/20,10/01/20,09/28/20,Out for 2020 season
Roman Quinn,PHI,OF,08/16/20,COVID-19 protocol,,08/16/20,,08/18/20,Activated
Tommy Pham,SDP,OF,08/16/20,Fractured hamate,Active roster,08/17/20,08/27/20,09/18/20,Activated
Erik Swanson,SEA,RP,08/16/20,Strained forearm,Active roster,08/17/20,08/27/20,09/14/20,Activated
Elvis Andrus,TEX,SS,08/16/20,Strained lower back,Active roster,08/20/20,08/30/20,08/31/20,Activated
Christian Arroyo,BOS,INF,08/17/20,COVID-19 protocol,Active roster,08/17/20,,08/19/20,Activated
Kris Bryant,CHC,3B/OF,08/17/20,Sprained finger,Active roster,08/19/20,08/29/20,09/01/20,Activated
Andrew Chafin,CHC,RP,08/17/20,Sprained finger,Active roster,08/18/20,08/28/20,09/19/20,Activated
Adam Engel,CHW,OF,08/17/20,COVID-19 protocol,Active roster,08/17/20,,08/19/20,Activated
David Dahl,COL,OF,08/17/20,Lower back soreness,,08/18/20,08/28/20,09/09/20,Activated
Nick Markakis,ATL,OF,08/18/20,COVID-19 protocol,Active roster,08/18/20,,08/25/20,Activated
Harold Castro,DET,INF/OF,08/18/20,Strained hamstring,Active roster,08/19/20,08/29/20,09/18/20,Activated
Pat Venditte,MIA,RP,08/18/20,Strained oblique,45-Day IL,08/19/20,10/03/20,09/28/20,Out for 2020 season
Yacksel Ríos,PIT,RP,08/18/20,Shoulder inflammation,10-Day IL,08/15/20,08/25/20,09/28/20,No timetable for return
Drew Pomeranz,SDP,RP,08/18/20,Strained shoulder,Active roster,08/19/20,08/29/20,08/29/20,Activated
Nate Pearson,TOR,SP,08/18/20,Strained flexor,Active roster,08/19/20,08/29/20,09/24/20,Activated
Chris Owings,COL,INF/OF,08/19/20,Strained hamstring,10-Day IL,08/20/20,08/30/20,09/28/20,No timetable for return
Alex Bregman,HOU,3B,08/19/20,Strained hamstring,Active roster,08/20/20,08/30/20,09/08/20,Activated
Pedro Báez,LAD,RP,08/19/20,Strained groin,Active roster,08/20/20,08/30/20,09/12/20,Activated
Corey Knebel,MIL,RP,08/19/20,Strained hamstring,Active roster,08/20/20,08/30/20,08/31/20,Activated
Byron Buxton,MIN,OF,08/19/20,Shoulder inflammation,Active roster,08/20/20,08/30/20,09/01/20,Activated
Mitch Garver,MIN,C,08/19/20,Strained intercostal,Active roster,08/20/20,08/30/20,09/18/20,Activated
Zack Britton,NYY,RP,08/19/20,Strained hamstring,Active roster,08/20/20,08/30/20,09/01/20,Activated
Kirby Yates,SDP,RP,08/19/20,Elbow surgery (bone chips),45-Day IL,08/15/20,09/29/20,09/28/20,Out for 2020 season
Matt Wieters,STL,C,08/19/20,Toe contusion,Active roster,08/20/20,08/30/20,09/04/20,Activated
Chaz Roe,TBR,RP,08/19/20,Elbow soreness,45-Day IL,08/20/20,10/04/20,09/28/20,Out for 2020 season
Nick Anderson,TBR,RP,08/19/20,Forearm inflammation,Active roster,08/20/20,08/30/20,09/04/20,Activated
Willie Calhoun,TEX,OF,08/19/20,Strained hamstring,Active roster,08/20/20,08/30/20,09/15/20,Activated
Sam Freeman,WSN,RP,08/19/20,Tommy John surgery,45-Day IL,08/13/20,09/27/20,09/28/20,Out for 2020 season
Joe Harvey,COL,RP,08/20/20,Sprained elbow,45-Day IL,08/21/20,10/05/20,09/28/20,No timetable for return
Josh James,HOU,RP,08/20/20,Hip discomfort,,08/21/20,08/31/20,09/09/20,Activated
Max Stassi,LAA,C,08/20/20,Strained quad/knee contusion,Active roster,08/21/20,08/31/20,09/06/20,Activated
Luis Avilán,NYY,RP,08/20/20,Shoulder inflammation,Player Pool,08/22/20,09/01/20,08/28/20,Activated
James Paxton,NYY,SP,08/20/20,Strained flexor,45-Day IL,08/21/20,10/05/20,09/28/20,No timetable for return
Gleyber Torres,NYY,SS,08/20/20,Strained hamstring/quad,Active roster,08/21/20,08/31/20,09/05/20,Activated
Jay Bruce,PHI,OF,08/20/20,Strained quad,,08/21/20,08/31/20,08/31/20,Activated
Jose Alvarez,PHI,RP,08/20/20,Testicular contusion,45-Day IL,08/21/20,10/05/20,09/28/20,Out for 2020 season
Taylor Guilbeau,SEA,RP,08/20/20,Strained shoulder,45-Day IL,08/21/20,10/05/20,09/28/20,Out for 2020 season
Dylan Moore,SEA,INF/OF,08/20/20,Sprained wrist,Active roster,08/21/20,08/31/20,09/04/20,Activated
Walker Buehler,LAD,SP,08/21/20,Blister on hand,,08/23/20,09/02/20,09/02/20,Activated
Stephen Tarpley,MIA,RP,08/21/20,Strained oblique,Active roster,08/22/20,09/01/20,09/23/20,Activated
Jake Odorizzi,MIN,SP,08/21/20,Chest contusion,,08/22/20,09/01/20,09/16/20,Activated
Zack Littell,MIN,RP,08/21/20,Elbow inflammation,Active roster,08/22/20,09/01/20,09/06/20,Activated
Tomás Nido,NYM,C,08/21/20,Undisclosed,10-Day IL,08/25/20,,09/28/20,No timetable for return
Andrés Giménez,NYM,INF,08/21/20,Undisclosed,,08/25/20,,08/28/20,Activated
Keone Kela,PIT,RP,08/21/20,Forearm tightness,10-Day IL,08/24/20,09/03/20,09/28/20,Out for 2020 season
Austin Slater,SFG,OF,08/21/20,Strained groin,Active roster,08/22/20,09/01/20,09/05/20,Activated
Matt Shoemaker,TOR,SP,08/21/20,Strained lat,Active roster,08/22/20,09/01/20,09/21/20,Activated
Starlin Castro,WSN,2B,08/21/20,Wrist surgery,45-Day IL,08/15/20,09/29/20,09/28/20,Out for 2020 season
Francisco Cervelli,MIA,C,08/22/20,Concussion,45-Day IL,08/23/20,10/07/20,09/28/20,Out for 2020 season
Jesse Chavez,TEX,RP,08/22/20,Sprained toe,Active roster,08/23/20,09/02/20,09/06/20,Activated
Seth Romero,WSN,RP,08/22/20,Fractured hand (non-throwing),10-Day IL,08/23/20,09/02/20,09/28/20,No timetable for return
Wade LeBlanc,BAL,SP,08/23/20,Elbow stress reaction,45-Day IL,08/24/20,10/08/20,09/28/20,Out for 2020 season
Magneuris Sierra,MIA,OF,08/23/20,Strained hamstring,Active roster,08/24/20,09/03/20,09/24/20,Activated
Colin Moran,PIT,3B/1B,08/23/20,Concussion,Active roster,08/24/20,08/31/20,08/31/20,Activated
Andrew Miller,STL,RP,08/23/20,Shoulder fatigue,Active roster,08/24/20,09/03/20,09/05/20,Activated
Logan Forsythe,MIA,INF,08/25/20,Strained oblique,45-Day IL,08/26/20,10/10/20,09/28/20,Out for 2020 season
Corey Oswalt,NYM,RP,08/25/20,Biceps tendinitis,Active roster,08/26/20,09/05/20,09/19/20,Activated
Mike Zunino,TBR,C,08/25/20,Strained oblique,Active roster,08/26/20,09/05/20,09/20/20,Activated
Yonny Chirinos,TBR,SP,08/25/20,Tommy John surgery,45-Day IL,08/17/20,10/01/20,09/28/20,Out for 2020 season
Rougned Odor,TEX,2B,08/25/20,Eye infection,Active roster,08/28/20,09/07/20,09/09/20,Activated
Yordan Alvarez,HOU,DH,08/26/20,Arthroscopic knee surgery,45-Day IL,08/16/20,09/30/20,09/28/20,Out for 2020 season
Aaron Judge,NYY,OF,08/26/20,Strained calf,Active roster,08/27/20,09/06/20,09/16/20,Activated
Stephen Strasburg,WSN,SP,08/26/20,Carpal tunnel syndrome surgery,45-Day IL,08/15/20,09/29/20,09/28/20,Out for 2020 season
Wade Miley,CIN,SP,08/27/20,Strained shoulder,Active roster,08/28/20,09/07/20,09/23/20,Activated
Jesse Biddle,CIN,RP,08/27/20,Shoulder discomfort,10-Day IL,08/28/20,09/07/20,09/28/20,No timetable for return
Austin Davis,PIT,RP,08/27/20,Undisclosed,10-Day IL,08/27/20,,09/11/20,No timetable for return
Taylor Widener,ARI,RP,08/28/20,Strained rib cage,Active roster,08/29/20,09/08/20,09/20/20,Activated
Justin Turner,LAD,3B,08/28/20,Strained hamstring,Active roster,08/29/20,09/08/20,09/15/20,Activated
Ricardo Sánchez,STL,RP,08/28/20,Elbow discomfort,45-Day IL,08/29/20,10/13/20,09/28/20,No timetable for return
Brett Phillips,TBR,OF,08/28/20,COVID-19 protocol,Active roster,08/28/20,,09/04/20,Activated
Ryan Yarbrough,TBR,SP,08/28/20,Strained groin,Active roster,08/29/20,10/13/20,09/08/20,Activated
Jordan Romano,TOR,RP,08/28/20,Finger discomfort,10-Day IL,08/29/20,09/08/20,09/28/20,No timetable for return
Shawn Armstrong,BAL,RP,08/29/20,SI joint inflammation,Active roster,08/26/20,09/05/20,09/22/20,Activated
Nathan Eovaldi,BOS,SP,08/29/20,Strained calf,Active roster,08/26/20,09/05/20,09/12/20,Activated
Kyle Hart,BOS,SP,08/29/20,Hip impingement,45-Day IL,09/02/20,10/17/20,09/28/20,Out for 2020 season
Darwinzon Hernández,BOS,RP,08/29/20,Sprained SC joint,Active roster,08/30/20,09/09/20,09/18/20,Activated
Gio González,CHW,SP/RP,08/29/20,Strained groin,Active roster,08/27/20,09/06/20,09/08/20,Activated
Brendan Rodgers,COL,INF,08/29/20,Strained shoulder,10-Day IL,08/30/20,09/09/20,09/28/20,No timetable for return
Ian Kennedy,KCR,RP,08/29/20,Strained calf,Active roster,08/30/20,09/09/20,09/25/20,Activated
Hoby Milner,LAA,RP,08/29/20,Back spasms,Active roster,08/26/20,09/05/20,09/08/20,Activated
Franklin Barreto,LAA,INF,08/29/20,COVID-19 protocol,,08/29/20,,09/02/20,Activated
Dellin Betances,NYM,RP,08/29/20,Lat tightness,Active roster,08/30/20,09/09/20,09/23/20,Activated
Steven Matz,NYM,SP/RP,08/29/20,Shoulder bursitis,Active roster,08/30/20,09/09/20,09/13/20,Activated
Luis Perdomo,SDP,RP,08/29/20,Forearm inflammation,Active roster,09/01/20,09/11/20,09/11/20,Activated
Adrian Morejon,SDP,SP,08/29/20,COVID-19 protocol,Active roster,08/26/20,,08/31/20,Activated
Jose Quintana,CHC,SP,08/30/20,Strained lat,Active roster,08/31/20,09/10/20,09/22/20,Activated
Tyler Chatwood,CHC,SP,08/30/20,Strained forearm,10-Day IL,08/31/20,09/10/20,09/28/20,No timetable for return
David Fletcher,LAA,INF/OF,08/30/20,Sprained ankle,Active roster,08/31/20,09/10/20,09/12/20,Activated
Daniel Mengden,OAK,SP/RP,08/30/20,COVID-19,Designated for assignment,09/03/20,,09/20/20,Activated
Adam Morgan,PHI,RP,08/30/20,Shoulder fatigue,Active roster,08/31/20,09/10/20,09/11/20,Activated
Scott Kingery,PHI,INF/OF,08/30/20,Back spasms,Active roster,08/31/20,09/10/20,09/14/20,Activated
Emilio Pagán,SDP,RP,08/30/20,Biceps inflammation,Active roster,08/31/20,09/10/20,09/10/20,Activated
Joey Rickard,SFG,OF,08/30/20,Elbow inflammation,45-Day IL,08/31/20,10/15/20,09/28/20,Out for 2020 season
Colten Brewer,BOS,SP/RP,08/31/20,Strained finger,45-Day IL,09/01/20,10/16/20,09/28/20,Out for 2020 season
Yandy Díaz,TBR,1B/3B,08/31/20,Strained hamstring,Active roster,09/01/20,09/11/20,09/28/20,Activated
Manuel Rodríguez,CHC,RP,Sep'20,Strained biceps,45-Day IL,09/25/20,11/09/20,09/28/20,Out for 2020 season
Matt Bowman,CIN,RP,09/01/20,Tommy John surgery,45-Day IL,07/20/20,09/03/20,09/28/20,Out for 2020 season
Jefry Rodriguez,CLE,SP,Sep'20,Strained shoulder,45-Day IL,09/09/20,10/24/20,09/28/20,Out for 2020 season
Jon Gray,COL,SP,09/01/20,Shoulder inflammation,10-Day IL,09/02/20,09/12/20,09/28/20,Out for 2020 season
Scott Oberg,COL,RP,Sep'20,Thoracic outlet syndrome surgery,45-Day IL,07/20/20,09/03/20,09/28/20,Out for 2020 season
Niko Goodrum,DET,SS,09/01/20,Strained oblique,Active roster,09/02/20,09/12/20,09/15/20,Activated
JaCoby Jones,DET,OF,09/01/20,Fractured hand,45-Day IL,09/02/20,10/17/20,09/28/20,Out for 2020 season
Elieser Hernández,MIA,SP,09/01/20,Strained lat,45-Day IL,09/02/20,10/17/20,09/28/20,Out for 2020 season
Manny Piña,MIL,C,09/01/20,Knee surgery (torn meniscus),10-Day IL,08/28/20,09/07/20,09/28/20,No timetable for return
Franklyn Kilome,NYM,RP,09/01/20,Split fingernail,Active roster,09/02/20,09/12/20,09/18/20,Activated
Ben Heller,NYY,RP,Sep'20,Biceps nerve injury,45-Day IL,09/22/20,11/06/20,09/28/20,Out for 2020 season
Yadiel Rivera,TEX,INF/OF,09/01/20,Torn elbow ligament,10-Day IL,09/04/20,09/14/20,09/28/20,Out for 2020 season
Trent Thornton,TOR,SP,09/01/20,Elbow surgery (loose bodies),45-Day IL,08/24/20,10/08/20,09/28/20,Out for 2020 season
Javy Guerra,WSN,RP,09/01/20,Strained hamstring,10-Day IL,09/02/20,09/12/20,09/28/20,No timetable for return
Jace Fry,CHW,RP,09/02/20,Back spasms,Active roster,09/03/20,09/13/20,09/15/20,Activated
Austin Pruitt,HOU,SP/RP,09/02/20,Elbow surgery (hairline fracture),45-Day IL,07/20/20,09/03/20,09/28/20,Out for 2020 season
Max Kepler,MIN,OF,09/02/20,Strained groin,Active roster,09/04/20,09/14/20,09/13/20,Activated
Wil Myers,SDP,OF,09/02/20,Undisclosed,Active roster,09/02/20,,09/03/20,Activated
Dexter Fowler,STL,OF,09/02/20,COVID-19 protocol,Active roster,09/02/20,,09/21/20,Activated
Jalen Beeks,TBR,RP,09/02/20,Tommy John surgery,45-Day IL,08/26/20,10/10/20,09/28/20,Out for 2020 season
Jose Altuve,HOU,2B,09/03/20,Sprained knee,Active roster,09/04/20,09/14/20,09/15/20,Activated
Gio Urshela,NYY,3B,09/03/20,Elbow bone spur,Active roster,09/04/20,09/14/20,09/15/20,Activated
Alex Cobb,BAL,SP,09/04/20,Undisclosed,Active roster,09/04/20,,09/11/20,Activated
Anthony Santander,BAL,OF,09/04/20,Strained oblique,10-Day IL,09/05/20,09/15/20,09/28/20,No timetable for return
Zack Godley,BOS,SP,09/04/20,Strained flexor,45-Day IL,09/07/20,10/22/20,09/28/20,Out for 2020 season
Lance McCullers Jr.,HOU,SP,09/04/20,Neck nerve irritation,Active roster,09/05/20,09/15/20,09/16/20,Activated
Alex Avila,MIN,C,09/04/20,Lower back tightness,Active roster,09/05/20,09/15/20,09/16/20,Activated
Jonathan Loáisiga,NYY,RP,09/04/20,Undisclosed medical condition,Active roster,09/02/20,09/12/20,09/15/20,Activated
Luis Campusano,SDP,C,09/04/20,Sprained wrist,Active roster,09/06/20,09/16/20,09/30/20,Activated
Sam Haggerty,SEA,INF/OF,09/04/20,Strained forearm,10-Day IL,09/05/20,09/15/20,09/28/20,No timetable for return
Max Fried,ATL,SP,09/05/20,Lumbar spasm,Active roster,09/06/20,09/16/20,09/17/20,Activated
Josh Taylor,BOS,RP,09/05/20,Shoulder tendinitis,10-Day IL,09/08/20,09/18/20,09/28/20,No timetable for return
Blake Taylor,HOU,RP,09/05/20,Elbow soreness,Active roster,09/06/20,09/16/20,09/18/20,Activated
Jorge Soler,KCR,OF,09/05/20,Strained oblique,,09/06/20,09/16/20,09/21/20,Activated
Brandon Leibrandt,MIA,RP,09/05/20,Elbow ulnar neuritis,45-Day IL,09/06/20,10/21/20,09/28/20,Out for 2020 season
Jay Bruce,PHI,OF,09/05/20,Strained quad,Active roster,09/06/20,09/16/20,09/18/20,Activated
Roman Quinn,PHI,OF,09/05/20,Concussion,Active roster,09/06/20,09/13/20,09/15/20,Activated
Anthony Alford,PIT,OF,09/05/20,Fractured elbow,45-Day IL,09/06/20,10/21/20,09/28/20,Out for 2020 season
Kwang Hyun Kim,STL,SP,09/05/20,Kidney ailment,Active roster,09/02/20,09/12/20,09/14/20,Activated
Cody Reed,TBR,RP,09/05/20,Finger discomfort,45-Day IL,09/07/20,10/22/20,09/28/20,Out for 2020 season
Joely Rodríguez,TEX,RP,09/05/20,Strained hamstring,10-Day IL,09/06/20,09/16/20,09/28/20,Out for 2020 season
Teoscar Hernández,TOR,OF,09/05/20,Strained oblique,Active roster,09/06/20,09/16/20,09/16/20,Activated
Howie Kendrick,WSN,INF,09/05/20,Strained hamstring,10-Day IL,09/06/20,09/16/20,09/28/20,No timetable for return
Dallas Keuchel,CHW,SP,09/06/20,Back spasms,Active roster,09/07/20,09/17/20,09/19/20,Activated
Wilmer Font,TOR,RP,09/06/20,Shin contusion,Active roster,09/07/20,09/17/20,09/17/20,Activated
Dakota Bacus,WSN,RP,09/06/20,Strained flexor,10-Day IL,09/07/20,09/17/20,09/28/20,Out for 2020 season
Jon Berti,MIA,INF/OF,09/07/20,Finger laceration,Active roster,09/08/20,09/18/20,09/20/20,Activated
Eric Hosmer,SDP,1B,09/07/20,Fractured finger,Active roster,09/08/20,09/18/20,09/19/20,Activated
Shin-Soo Choo,TEX,OF,09/07/20,Sprained hand,Active roster,09/08/20,09/18/20,09/27/20,Activated
Ketel Marte,ARI,2B,09/08/20,Wrist inflammation,Active roster,09/09/20,09/19/20,09/22/20,Activated
Austin Brice,BOS,RP,09/08/20,Strained lat,10-Day IL,09/09/20,09/19/20,09/28/20,No timetable for return
Walker Buehler,LAD,SP,09/08/20,Blister on hand,Active roster,09/09/20,09/19/20,09/24/20,Activated
Luis Arraez,MIN,2B,09/08/20,Knee tendinitis,Active roster,09/09/20,09/19/20,09/26/20,Activated
Robert Gsellman,NYM,RP,09/08/20,Fractured rib,45-Day IL,09/09/20,10/24/20,09/28/20,Out for 2020 season
Rowdy Tellez,TOR,1B,09/08/20,Strained knee,Active roster,09/09/20,09/19/20,09/28/20,Activated
Merrill Kelly,ARI,SP,09/09/20,Thoracic outlet syndrome surgery,45-Day IL,08/21/20,10/05/20,09/28/20,Out for 2020 season
Tommy Milone,ATL,SP,09/09/20,Elbow inflammation,Released,09/10/20,09/20/20,09/30/20,Activated
Tyler Bashlor,PIT,RP,09/09/20,Lower back inflammation,10-Day IL,09/10/20,09/20/20,09/28/20,No timetable for return
Trevor Gott,SFG,RP,09/09/20,Elbow inflammation,10-Day IL,09/10/20,09/20/20,09/28/20,No timetable for return
Danny Santana,TEX,INF/OF,09/09/20,Elbow surgery,10-Day IL,08/27/20,09/06/20,09/28/20,Out for 2020 season
Jose Trevino,TEX,C,09/09/20,Wrist impingement,10-Day IL,09/10/20,09/20/20,09/28/20,No timetable for return
Sonny Gray,CIN,SP,09/10/20,Strained back,Active roster,09/11/20,09/21/20,09/22/20,No timetable for return
Matt Strahm,SDP,RP,09/10/20,Knee inflammation,Active roster,09/11/20,09/21/20,09/22/20,Activated
Giovanny Gallegos,STL,RP,09/10/20,Strained groin,Active roster,09/11/20,09/21/20,09/21/20,Activated
Johan Oviedo,STL,SP,09/10/20,COVID-19 protocol,Active roster,09/10/20,,09/16/20,Activated
Sean Doolittle,WSN,RP,09/10/20,Strained oblique,10-Day IL,09/11/20,09/21/20,09/28/20,No timetable for return
Tanner Rainey,WSN,RP,09/10/20,Strained flexor,10-Day IL,09/12/20,09/22/20,09/28/20,No timetable for return
Chris Davis,BAL,1B,09/11/20,Patellar tendinitis,10-Day IL,09/12/20,09/22/20,09/28/20,Out for 2020 season
Andrew Triggs,BOS,RP,09/11/20,Radial nerve irritation,Active roster,09/12/20,09/22/20,09/26/20,Activated
Jonathan Schoop,DET,2B,09/12/20,Sprained wrist,45-Day IL,09/13/20,10/28/20,09/28/20,Out for 2020 season
Brent Rooker,MIN,OF/1B,09/12/20,Fractured forearm,10-Day IL,09/13/20,09/23/20,09/28/20,Out for 2020 season
Chad Pinder,OAK,INF/OF,09/12/20,Strained hamstring,Active roster,09/13/20,09/23/20,09/27/20,Activated
Rhys Hoskins,PHI,1B,09/12/20,Strained elbow,10-Day IL,09/13/20,09/23/20,09/28/20,No timetable for return
Spencer Howard,PHI,SP,09/12/20,Shoulder tightness,Active roster,09/13/20,09/23/20,09/24/20,Activated
Kyle Crick,PIT,RP,09/12/20,Strained lat,10-Day IL,09/13/20,09/23/20,09/28/20,No timetable for return
Ji Man Choi,TBR,1B,09/12/20,Strained hamstring,Active roster,09/13/20,09/23/20,09/28/20,Activated
Elvis Andrus,TEX,SS,09/12/20,Strained back,10-Day IL,09/13/20,09/23/20,09/28/20,Out for 2020 season
Javy Guerra,SDP,RP,09/13/20,TBD,10-Day IL,09/10/20,09/20/20,09/28/20,No timetable for return
Austin Dean,STL,OF/1B,09/13/20,Strained elbow,Active roster,09/14/20,09/24/20,09/27/20,Activated
Evan Marshall,CHW,RP,09/14/20,Shoulder inflammation,Active roster,09/15/20,09/25/20,09/25/20,Activated
Isan Díaz,MIA,2B,09/14/20,Strained groin,45-Day IL,09/15/20,10/30/20,09/28/20,Out for 2020 season
Chris Devenski,HOU,RP,09/15/20,Arthroscopic elbow surgery,10-Day IL,09/07/20,09/17/20,09/28/20,No timetable for return
Matt Harvey,KCR,RP,09/15/20,Strained lat,45-Day IL,09/16/20,10/31/20,09/28/20,Out for 2020 season
Matt Chapman,OAK,3B,09/15/20,Hip surgery,10-Day IL,09/09/20,09/19/20,09/28/20,Out for 2020 season
Jake Arrieta,PHI,SP,09/15/20,Strained hamstring,10-Day IL,09/16/20,09/26/20,09/28/20,No timetable for return
Kyle Garlick,PHI,OF,09/15/20,Strained oblique,10-Day IL,09/16/20,09/26/20,09/28/20,No timetable for return
Matt Magill,SEA,RP,09/15/20,Arthroscopic shoulder surgery,45-Day IL,08/28/20,10/12/20,09/28/20,Out for 2020 season
Derek Fisher,TOR,OF,09/15/20,Knee contusion,10-Day IL,09/16/20,09/26/20,09/28/20,No timetable for return
Cole Hamels,ATL,SP,09/16/20,Shoulder fatigue,45-Day IL,09/18/20,11/02/20,09/28/20,Out for 2020 season
Rowan Wick,CHC,RP,09/16/20,Strained oblique,10-Day IL,09/17/20,09/27/20,09/28/20,No timetable for return
Jake Odorizzi,MIN,SP,09/16/20,Blister on finger,Active roster,09/17/20,09/27/20,09/28/20,Activated
A.J. Puk,OAK,SP,09/16/20,Shoulder surgery,45-Day IL,07/20/20,09/03/20,09/28/20,Out for 2020 season
Cole Tucker,PIT,INF/OF,09/16/20,Concussion,7-Day IL,09/17/20,09/24/20,09/28/20,Out for 2020 season
Jacob Waguespack,TOR,SP,09/16/20,Strained back,10-Day IL,09/17/20,09/27/20,09/28/20,No timetable for return
Adam Eaton,WSN,OF,09/16/20,Fractured finger,10-Day IL,09/17/20,09/27/20,09/28/20,Out for 2020 season
Yairo Muñoz,BOS,INF/OF,09/17/20,Strained lower back,10-Day IL,09/18/20,09/28/20,09/28/20,Out for 2020 season
Austin Meadows,TBR,OF,09/17/20,Strained oblique,Active roster,09/18/20,09/28/20,10/05/20,Activated
Julian Merryweather,TOR,RP,09/17/20,Elbow tendinitis,10-Day IL,09/18/20,09/28/20,09/28/20,No timetable for return
Ben Gamel,MIL,OF,09/18/20,Strained quad,Active roster,09/19/20,09/29/20,09/30/20,Activated
Jake Marisnick,NYM,OF,09/18/20,Strained hamstring,10-Day IL,09/19/20,09/29/20,09/28/20,Out for 2020 season
Jason Martin,PIT,OF,09/18/20,Strained back,10-Day IL,09/19/20,09/29/20,09/28/20,Out for 2020 season
Aaron Barrett,WSN,RP,09/18/20,Strained triceps,10-Day IL,09/19/20,09/29/20,09/28/20,Out for 2020 season
