playerID,yearID,round,teamID,lgID,W,L,G,GS,CG,SHO,SV,IPouts,H,ER,HR,BB,SO,BAOpp,ERA,IBB,WP,HBP,BK,BFP,GF,R,SH,SF,GIDP
parkeja02,2011,NLDS2,ARI,NL,0,0,1,0,0,0,0,1,2,1,0,1,0,1.0,27.0,0.0,0.0,0.0,0.0,4.0,0,1,1.0,0.0,0.0
parkeja02,2012,ALDS2,OAK,AL,0,2,2,2,0,0,0,38,14,6,1,2,11,0.286,4.26,0.0,2.0,1.0,0.0,53.0,0,7,1.0,0.0,1.0
parkeja02,2013,ALDS2,OAK,AL,1,0,1,1,0,0,0,15,5,3,0,1,1,0.263,5.4,0.0,0.0,0.0,0.0,20.0,0,3,0.0,0.0,1.0
parquji01,2000,ALDS2,CHA,AL,0,0,1,1,0,0,0,18,6,3,1,1,2,0.286,4.5,0.0,0.0,1.0,0.0,23.0,0,3,0.0,0.0,2.0
parrama01,2008,NLDS2,MIL,NL,0,0,2,0,0,0,0,7,2,0,0,1,3,0.25,0.0,0.0,0.0,0.0,0.0,9.0,0,0,0.0,0.0,1.0
parrama01,2013,NLWC,CIN,NL,0,0,1,0,0,0,0,2,1,0,0,0,1,0.333,0.0,0.0,0.0,0.0,0.0,3.0,0,0,0.0,0.0,0.0
parreje01,1992,ALCS,OAK,AL,0,0,3,0,0,0,0,7,6,3,0,0,1,0.6,11.57,0.0,0.0,0.0,0.0,12.0,1,3,1.0,1.0,0.0
pascuca02,1965,WS,MIN,AL,0,1,1,1,0,0,0,15,8,3,0,1,0,0.364,5.4,0.0,0.0,0.0,0.0,24.0,0,3,1.0,0.0,0.0
passecl01,1945,WS,CHN,NL,1,0,3,2,1,1,0,50,7,5,0,8,3,0.123,2.7,2.0,0.0,0.0,0.0,65.0,0,5,0.0,0.0,1.0
pastofr01,1979,NLCS,CIN,NL,0,0,1,1,0,0,0,21,7,2,0,3,1,0.304,2.57,1.0,0.0,0.0,0.0,28.0,0,2,2.0,0.0,1.0
paterjo01,2011,NLDS2,ARI,NL,0,0,1,0,0,0,0,1,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0.0,0.0,0.0
patinlu01,2020,NLDS1,SDN,NL,0,0,2,0,0,0,0,5,1,1,0,1,0,0.167,5.4,0.0,0.0,0.0,0.0,7.0,1,1,0.0,0.0,0.0
patinlu01,2020,NLWC2,SDN,NL,0,0,1,0,0,0,0,3,1,0,0,1,0,0.25,0.0,0.0,0.0,0.0,0.0,5.0,0,0,0.0,0.0,0.0
patinlu01,2021,ALDS2,TBA,AL,0,1,2,0,0,0,0,7,2,2,1,1,2,0.222,7.71,0.0,0.0,0.0,0.0,10.0,1,2,0.0,0.0,0.0
pattebo01,1990,NLCS,PIT,NL,0,0,2,0,0,0,1,3,1,0,0,2,0,0.333,0.0,1.0,0.0,0.0,0.0,5.0,1,0,0.0,0.0,1.0
pattebo01,1991,NLCS,PIT,NL,0,0,1,0,0,0,0,6,1,0,0,0,3,0.143,0.0,0.0,0.0,0.0,0.0,7.0,0,0,0.0,0.0,0.0
pattebo01,1992,NLCS,PIT,NL,0,0,2,0,0,0,0,5,3,1,0,1,1,0.375,5.4,0.0,0.0,0.0,0.0,9.0,0,1,0.0,0.0,0.0
patteda02,1968,WS,DET,AL,0,0,2,0,0,0,0,9,1,0,0,1,0,0.125,0.0,0.0,0.0,0.0,0.0,9.0,0,0,0.0,0.0,0.0
patteda04,1996,ALDS2,TEX,AL,0,0,1,0,0,0,0,1,1,0,0,0,0,0.5,0.0,0.0,0.0,0.0,0.0,2.0,0,0,0.0,0.0,0.0
patteda04,1999,ALDS2,TEX,AL,0,0,1,0,0,0,0,3,1,0,0,0,0,0.25,0.0,0.0,0.0,0.0,0.0,4.0,0,0,0.0,0.0,0.0
pattima01,1976,ALCS,KCA,AL,0,0,2,0,0,0,0,1,0,1,0,1,0,0.0,27.0,1.0,0.0,0.0,0.0,2.0,0,1,0.0,0.0,0.0
pattima01,1977,ALCS,KCA,AL,0,0,1,0,0,0,0,18,6,1,0,0,0,0.261,1.5,0.0,0.0,0.0,0.0,24.0,0,2,1.0,0.0,0.0
pattima01,1978,ALCS,KCA,AL,0,0,1,0,0,0,0,2,2,2,0,0,0,0.5,27.0,0.0,0.0,0.0,0.0,4.0,0,2,0.0,0.0,0.0
pattima01,1980,WS,KCA,AL,0,0,1,0,0,0,0,3,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0,0,0.0,0.0,0.0
pattotr01,2012,ALDS1,BAL,AL,0,0,3,0,0,0,0,6,3,1,1,2,3,0.333,4.5,0.0,0.0,0.0,0.0,11.0,0,1,0.0,0.0,0.0
pavanca01,2003,NLCS,FLO,NL,0,0,3,1,0,0,0,23,8,2,0,1,8,0.286,2.35,0.0,0.0,0.0,0.0,30.0,1,2,1.0,0.0,2.0
