pitches,player_id,player_name,total_pitches,pitch_percent,ba,iso,babip,slg,woba,xwoba,xba,hits,abs,launch_speed,launch_angle,spin_rate,velocity
8504,542882,"Andriese, Matt",8504,100,0.267,0.178,0.312,0.445,0.325,0.319,0.253,539,2019,90.2,11.1,2318.0,88.3
8499,506693,"Alvarez III, Henderson",8499,100,0.273,0.14,0.293,0.413,0.32,0.379,0.31,610,2234,87.9,4.1,1774.0,91.2
8494,477569,"Salas, Fernando",8494,100,0.242,0.155,0.292,0.398,0.297,0.305,0.241,466,1924,89.1,14.8,2071.0,88.4
8483,434678,"Davies, Kyle",8483,100,0.284,0.157,0.317,0.44,0.352,0.165,0.173,536,1889,84.7,-9.1,2134.0,88.3
8409,608718,"Suter, Brent",8409,100,0.25,0.15,0.291,0.4,0.304,0.297,0.247,503,2009,84.3,11.6,2080.0,83.7
8409,571901,"Loup, Aaron",8409,100,0.249,0.12,0.309,0.37,0.302,0.304,0.244,492,1972,86.3,6.5,2218.0,88.1
8406,448694,"Wells, Randy",8406,100,0.268,0.136,0.297,0.404,0.324,,,550,2049,,,,86.9
8393,592102,"Allen, Cody",8393,100,0.219,0.148,0.3,0.367,0.291,0.294,0.209,393,1794,89.4,18.0,2509.0,91.0
8319,605538,"Wisler, Matt",8319,100,0.257,0.193,0.289,0.45,0.326,0.326,0.251,506,1971,88.7,18.1,2292.0,86.8
8300,448614,"Torres, Carlos",8300,100,0.258,0.156,0.302,0.414,0.322,0.311,0.249,492,1910,86.3,9.9,2325.0,89.2
8299,460283,"Blevins, Jerry",8299,100,0.224,0.128,0.277,0.351,0.286,0.29,0.214,410,1834,85.2,18.2,2255.0,84.1
8294,605452,"Ross, Joe",8294,100,0.259,0.156,0.305,0.415,0.318,0.321,0.254,516,1989,87.3,11.5,1986.0,90.0
8285,425848,"Harden, Rich",8285,100,0.23,0.168,0.284,0.398,0.319,,,401,1746,,,,89.2
8274,656288,"Canning, Griffin",8274,100,0.253,0.193,0.292,0.446,0.329,0.321,0.243,472,1866,89.6,14.8,2260.0,89.8
8265,433657,"Bush, Dave",8265,100,0.271,0.201,0.285,0.473,0.348,,,549,2023,,,,82.8
8262,461791,"Marmol, Carlos",8262,100,0.18,0.102,0.267,0.282,0.286,,,277,1540,,,,88.6
8252,453172,"Hughes, Jared",8252,100,0.244,0.134,0.276,0.377,0.303,0.308,0.242,483,1983,88.0,1.4,1993.0,91.3
8238,605177,"Chafin, Andrew",8238,100,0.23,0.109,0.302,0.339,0.285,0.293,0.227,429,1867,87.4,9.5,2209.0,89.2
8229,542914,"Bass, Anthony",8229,100,0.246,0.15,0.283,0.395,0.306,0.306,0.249,486,1978,88.0,9.3,2018.0,90.0
8217,621389,"Blach, Ty",8217,100,0.301,0.17,0.322,0.471,0.352,0.352,0.295,620,2058,87.9,10.4,2122.0,85.7
8200,431162,"Stauffer, Tim",8200,100,0.256,0.141,0.299,0.397,0.316,0.349,0.289,481,1879,88.1,6.2,1872.0,87.1
