,Name,Team,Pos,Injury / Surgery Date,Injury / Surgery,Status,IL Retro Date,Eligible to Return,Return Date,Latest Update
242,Joe Palumbo,TEX,RP,08/07/20,Ulcerative colitis,45-Day IL,08/04/20,09/18/20,09/28/20,No timetable for return
243,Franchy Cordero,KCR,OF,08/08/20,Sprained wrist,Active roster,08/09/20,09/23/20,09/23/20,Activated
244,Joe Kelly,LAD,RP,08/08/20,Shoulder inflammation,Active roster,08/09/20,08/19/20,09/10/20,Activated
245,Giancarlo Stanton,NYY,OF,08/08/20,Strained hamstring,Active roster,08/09/20,08/19/20,09/15/20,Activated
246,Phillip Evans,PIT,INF/OF,08/08/20,Concussion/fractured jaw,45-Day IL,08/09/20,09/23/20,09/28/20,No timetable for return
247,Oliver Drake,TBR,RP,08/08/20,Biceps tendinitis,Active roster,08/09/20,08/19/20,09/15/20,Activated
248,Madison Bumgarner,ARI,SP,08/09/20,Strained back,Active roster,08/10/20,08/20/20,09/05/20,Activated
249,Buck Farmer,DET,RP,08/09/20,Strained groin,Active roster,08/10/20,08/20/20,08/20/20,Activated
250,Charlie Morton,TBR,SP,08/09/20,Shoulder inflammation,Active roster,08/10/20,08/20/20,09/02/20,Activated
251,Ronald Acuña Jr.,ATL,OF,08/10/20,Wrist inflammation,Active roster,08/12/20,08/22/20,08/25/20,Activated
252,Jorge López,BAL,RP,08/10/20,COVID-19 protocol,Active roster,08/10/20,,08/15/20,Activated
253,Leury García,CHW,INF/OF,08/10/20,Sprained thumb,Active roster,08/11/20,09/25/20,09/29/20,Activated
254,C.J. Cron,DET,1B,08/10/20,Sprained knee,45-Day IL,08/11/20,09/25/20,09/28/20,Out for 2020 season
255,Robinson Chirinos,TEX,C,08/10/20,Ankle soreness,Active roster,08/11/20,08/21/20,08/24/20,Activated
256,Sean Doolittle,WSN,RP,08/10/20,Knee inflammation,,08/11/20,08/21/20,08/26/20,Activated
257,Jeremy Beasley,ARI,RP,08/11/20,Strained shoulder,45-Day IL,08/13/20,09/27/20,09/28/20,Out for 2020 season
258,Jose Iglesias,BAL,SS,08/11/20,Strained quad,Active roster,08/16/20,08/26/20,08/27/20,Activated
259,John Means,BAL,SP,08/11/20,COVID-19 protocol,Active roster,08/11/20,,08/15/20,Activated
260,Andrew Benintendi,BOS,OF,08/11/20,Strained rib cage,45-Day IL,08/12/20,09/26/20,09/28/20,Out for 2020 season
261,Ian Hamilton,CHW,RP,08/11/20,Shoulder soreness,Player Pool,08/12/20,08/22/20,08/22/20,Activated
262,Michael Brantley,HOU,OF,08/11/20,Strained quad,Active roster,08/12/20,08/22/20,08/22/20,Activated
263,Foster Griffin,KCR,RP,08/11/20,Tommy John surgery,45-Day IL,07/28/20,09/11/20,09/28/20,No timetable for return
264,Cody Stashak,MIN,RP,08/11/20,Lower back inflammation,Active roster,08/12/20,08/22/20,09/07/20,Activated
265,Aaron Judge,NYY,OF,08/11/20,Strained calf,,08/12/20,08/22/20,08/25/20,Activated
266,Adam Haseley,PHI,OF,08/11/20,Sprained wrist,Active roster,08/12/20,08/22/20,08/22/20,Activated
267,Andrew Kittredge,TBR,RP,08/11/20,Sprained elbow,45-Day IL,08/12/20,09/26/20,09/28/20,No timetable for return
268,Edinson Volquez,TEX,RP,08/11/20,Strained oblique,45-Day IL,08/12/20,09/26/20,09/28/20,No timetable for return
269,Nick Goody,TEX,RP,08/11/20,Back spasms,Active roster,08/12/20,08/22/20,08/26/20,Activated
270,Luke Farrell,TEX,RP,08/11/20,COVID-19 protocol,Player Pool,08/11/20,,09/01/20,Activated
271,Will Smith,LAD,C,08/12/20,Neck inflammation,Active roster,08/13/20,08/23/20,08/23/20,Activated
272,Justin Grimm,MIL,RP,08/12/20,Blister on right hand,Released,08/13/20,08/23/20,08/27/20,Activated
273,Brett Martin,TEX,RP,08/12/20,Rotator cuff inflammation,Active roster,08/13/20,08/23/20,09/01/20,Activated
274,Mike Morin,MIA,RP,08/13/20,Elbow discomfort,10-Day IL,08/14/20,08/24/20,09/28/20,No timetable for return
275,David Peterson,NYM,SP,08/13/20,Shoulder fatigue,Active roster,08/15/20,08/25/20,08/28/20,Activated
276,Nick Senzel,CIN,OF,08/14/20,Undisclosed,Active roster,08/19/20,,09/14/20,Activated
277,Iván Nova,DET,SP,08/14/20,Triceps tendinitis,45-Day IL,08/15/20,09/29/20,09/28/20,Out for 2020 season
278,Nestor Cortes,SEA,RP,08/14/20,Elbow impingement,45-Day IL,08/15/20,09/29/20,09/28/20,Out for 2020 season
279,José Alvarado,TBR,RP,08/14/20,Shoulder inflammation,Active roster,08/15/20,09/29/20,10/11/20,Activated
280,Tyler Chatwood,CHC,SP,08/15/20,Back tightness,,08/13/20,08/23/20,08/25/20,Activated
281,Jakob Junis,KCR,SP,08/15/20,Back spasms,,08/13/20,08/23/20,08/26/20,Activated
282,DJ LeMahieu,NYY,2B,08/15/20,Sprained thumb,Active roster,08/16/20,08/26/20,08/29/20,Activated
283,Burch Smith,OAK,RP,08/15/20,Strained forearm,45-Day IL,08/16/20,09/30/20,09/28/20,Out for 2020 season
284,Francisco Mejía,SDP,C,08/15/20,Thumb contusion,Active roster,08/16/20,08/26/20,09/16/20,Activated
285,Bo Bichette,TOR,SS,08/15/20,Strained knee,Active roster,08/16/20,08/26/20,09/12/20,Activated
286,Steven Souza Jr.,CHC,OF,08/16/20,Strained hamstring,Active roster,08/17/20,08/27/20,09/01/20,Activated
287,Salvador Perez,KCR,C,08/16/20,Eye central serous chorioretinopathy,Active roster,08/18/20,08/28/20,09/11/20,Activated
288,Edwin Ríos,LAD,INF/OF,08/16/20,Strained hamstring,Active roster,08/17/20,08/27/20,09/01/20,Activated
289,Brian Moran,MIA,RP,08/16/20,Patellar tendinitis,45-Day IL,08/17/20,10/01/20,09/28/20,Out for 2020 season
290,Roman Quinn,PHI,OF,08/16/20,COVID-19 protocol,,08/16/20,,08/18/20,Activated
291,Tommy Pham,SDP,OF,08/16/20,Fractured hamate,Active roster,08/17/20,08/27/20,09/18/20,Activated
292,Erik Swanson,SEA,RP,08/16/20,Strained forearm,Active roster,08/17/20,08/27/20,09/14/20,Activated
293,Elvis Andrus,TEX,SS,08/16/20,Strained lower back,Active roster,08/20/20,08/30/20,08/31/20,Activated
294,Christian Arroyo,BOS,INF,08/17/20,COVID-19 protocol,Active roster,08/17/20,,08/19/20,Activated
295,Kris Bryant,CHC,3B/OF,08/17/20,Sprained finger,Active roster,08/19/20,08/29/20,09/01/20,Activated
296,Andrew Chafin,CHC,RP,08/17/20,Sprained finger,Active roster,08/18/20,08/28/20,09/19/20,Activated
297,Adam Engel,CHW,OF,08/17/20,COVID-19 protocol,Active roster,08/17/20,,08/19/20,Activated
298,David Dahl,COL,OF,08/17/20,Lower back soreness,,08/18/20,08/28/20,09/09/20,Activated
299,Nick Markakis,ATL,OF,08/18/20,COVID-19 protocol,Active roster,08/18/20,,08/25/20,Activated
300,Harold Castro,DET,INF/OF,08/18/20,Strained hamstring,Active roster,08/19/20,08/29/20,09/18/20,Activated
301,Pat Venditte,MIA,RP,08/18/20,Strained oblique,45-Day IL,08/19/20,10/03/20,09/28/20,Out for 2020 season
302,Yacksel Ríos,PIT,RP,08/18/20,Shoulder inflammation,10-Day IL,08/15/20,08/25/20,09/28/20,No timetable for return
303,Drew Pomeranz,SDP,RP,08/18/20,Strained shoulder,Active roster,08/19/20,08/29/20,08/29/20,Activated
304,Nate Pearson,TOR,SP,08/18/20,Strained flexor,Active roster,08/19/20,08/29/20,09/24/20,Activated
305,Chris Owings,COL,INF/OF,08/19/20,Strained hamstring,10-Day IL,08/20/20,08/30/20,09/28/20,No timetable for return
306,Alex Bregman,HOU,3B,08/19/20,Strained hamstring,Active roster,08/20/20,08/30/20,09/08/20,Activated
307,Pedro Báez,LAD,RP,08/19/20,Strained groin,Active roster,08/20/20,08/30/20,09/12/20,Activated
308,Corey Knebel,MIL,RP,08/19/20,Strained hamstring,Active roster,08/20/20,08/30/20,08/31/20,Activated
309,Byron Buxton,MIN,OF,08/19/20,Shoulder inflammation,Active roster,08/20/20,08/30/20,09/01/20,Activated
310,Mitch Garver,MIN,C,08/19/20,Strained intercostal,Active roster,08/20/20,08/30/20,09/18/20,Activated
311,Zack Britton,NYY,RP,08/19/20,Strained hamstring,Active roster,08/20/20,08/30/20,09/01/20,Activated
312,Kirby Yates,SDP,RP,08/19/20,Elbow surgery (bone chips),45-Day IL,08/15/20,09/29/20,09/28/20,Out for 2020 season
313,Matt Wieters,STL,C,08/19/20,Toe contusion,Active roster,08/20/20,08/30/20,09/04/20,Activated
314,Chaz Roe,TBR,RP,08/19/20,Elbow soreness,45-Day IL,08/20/20,10/04/20,09/28/20,Out for 2020 season
315,Nick Anderson,TBR,RP,08/19/20,Forearm inflammation,Active roster,08/20/20,08/30/20,09/04/20,Activated
316,Willie Calhoun,TEX,OF,08/19/20,Strained hamstring,Active roster,08/20/20,08/30/20,09/15/20,Activated
317,Sam Freeman,WSN,RP,08/19/20,Tommy John surgery,45-Day IL,08/13/20,09/27/20,09/28/20,Out for 2020 season
318,Joe Harvey,COL,RP,08/20/20,Sprained elbow,45-Day IL,08/21/20,10/05/20,09/28/20,No timetable for return
319,Josh James,HOU,RP,08/20/20,Hip discomfort,,08/21/20,08/31/20,09/09/20,Activated
320,Max Stassi,LAA,C,08/20/20,Strained quad/knee contusion,Active roster,08/21/20,08/31/20,09/06/20,Activated
321,Luis Avilán,NYY,RP,08/20/20,Shoulder inflammation,Player Pool,08/22/20,09/01/20,08/28/20,Activated
322,James Paxton,NYY,SP,08/20/20,Strained flexor,45-Day IL,08/21/20,10/05/20,09/28/20,No timetable for return
323,Gleyber Torres,NYY,SS,08/20/20,Strained hamstring/quad,Active roster,08/21/20,08/31/20,09/05/20,Activated
324,Jay Bruce,PHI,OF,08/20/20,Strained quad,,08/21/20,08/31/20,08/31/20,Activated
325,Jose Alvarez,PHI,RP,08/20/20,Testicular contusion,45-Day IL,08/21/20,10/05/20,09/28/20,Out for 2020 season
326,Taylor Guilbeau,SEA,RP,08/20/20,Strained shoulder,45-Day IL,08/21/20,10/05/20,09/28/20,Out for 2020 season
327,Dylan Moore,SEA,INF/OF,08/20/20,Sprained wrist,Active roster,08/21/20,08/31/20,09/04/20,Activated
328,Walker Buehler,LAD,SP,08/21/20,Blister on hand,,08/23/20,09/02/20,09/02/20,Activated
329,Stephen Tarpley,MIA,RP,08/21/20,Strained oblique,Active roster,08/22/20,09/01/20,09/23/20,Activated
330,Jake Odorizzi,MIN,SP,08/21/20,Chest contusion,,08/22/20,09/01/20,09/16/20,Activated
331,Zack Littell,MIN,RP,08/21/20,Elbow inflammation,Active roster,08/22/20,09/01/20,09/06/20,Activated
332,Tomás Nido,NYM,C,08/21/20,Undisclosed,10-Day IL,08/25/20,,09/28/20,No timetable for return
333,Andrés Giménez,NYM,INF,08/21/20,Undisclosed,,08/25/20,,08/28/20,Activated
334,Keone Kela,PIT,RP,08/21/20,Forearm tightness,10-Day IL,08/24/20,09/03/20,09/28/20,Out for 2020 season
335,Austin Slater,SFG,OF,08/21/20,Strained groin,Active roster,08/22/20,09/01/20,09/05/20,Activated
336,Matt Shoemaker,TOR,SP,08/21/20,Strained lat,Active roster,08/22/20,09/01/20,09/21/20,Activated
337,Starlin Castro,WSN,2B,08/21/20,Wrist surgery,45-Day IL,08/15/20,09/29/20,09/28/20,Out for 2020 season
338,Francisco Cervelli,MIA,C,08/22/20,Concussion,45-Day IL,08/23/20,10/07/20,09/28/20,Out for 2020 season
339,Jesse Chavez,TEX,RP,08/22/20,Sprained toe,Active roster,08/23/20,09/02/20,09/06/20,Activated
340,Seth Romero,WSN,RP,08/22/20,Fractured hand (non-throwing),10-Day IL,08/23/20,09/02/20,09/28/20,No timetable for return
341,Wade LeBlanc,BAL,SP,08/23/20,Elbow stress reaction,45-Day IL,08/24/20,10/08/20,09/28/20,Out for 2020 season
342,Magneuris Sierra,MIA,OF,08/23/20,Strained hamstring,Active roster,08/24/20,09/03/20,09/24/20,Activated
343,Colin Moran,PIT,3B/1B,08/23/20,Concussion,Active roster,08/24/20,08/31/20,08/31/20,Activated
344,Andrew Miller,STL,RP,08/23/20,Shoulder fatigue,Active roster,08/24/20,09/03/20,09/05/20,Activated
345,Logan Forsythe,MIA,INF,08/25/20,Strained oblique,45-Day IL,08/26/20,10/10/20,09/28/20,Out for 2020 season
346,Corey Oswalt,NYM,RP,08/25/20,Biceps tendinitis,Active roster,08/26/20,09/05/20,09/19/20,Activated
347,Mike Zunino,TBR,C,08/25/20,Strained oblique,Active roster,08/26/20,09/05/20,09/20/20,Activated
348,Yonny Chirinos,TBR,SP,08/25/20,Tommy John surgery,45-Day IL,08/17/20,10/01/20,09/28/20,Out for 2020 season
349,Rougned Odor,TEX,2B,08/25/20,Eye infection,Active roster,08/28/20,09/07/20,09/09/20,Activated
350,Yordan Alvarez,HOU,DH,08/26/20,Arthroscopic knee surgery,45-Day IL,08/16/20,09/30/20,09/28/20,Out for 2020 season
351,Aaron Judge,NYY,OF,08/26/20,Strained calf,Active roster,08/27/20,09/06/20,09/16/20,Activated
352,Stephen Strasburg,WSN,SP,08/26/20,Carpal tunnel syndrome surgery,45-Day IL,08/15/20,09/29/20,09/28/20,Out for 2020 season
353,Wade Miley,CIN,SP,08/27/20,Strained shoulder,Active roster,08/28/20,09/07/20,09/23/20,Activated
354,Jesse Biddle,CIN,RP,08/27/20,Shoulder discomfort,10-Day IL,08/28/20,09/07/20,09/28/20,No timetable for return
355,Austin Davis,PIT,RP,08/27/20,Undisclosed,10-Day IL,08/27/20,,09/11/20,No timetable for return
356,Taylor Widener,ARI,RP,08/28/20,Strained rib cage,Active roster,08/29/20,09/08/20,09/20/20,Activated
357,Justin Turner,LAD,3B,08/28/20,Strained hamstring,Active roster,08/29/20,09/08/20,09/15/20,Activated
358,Ricardo Sánchez,STL,RP,08/28/20,Elbow discomfort,45-Day IL,08/29/20,10/13/20,09/28/20,No timetable for return
359,Brett Phillips,TBR,OF,08/28/20,COVID-19 protocol,Active roster,08/28/20,,09/04/20,Activated
360,Ryan Yarbrough,TBR,SP,08/28/20,Strained groin,Active roster,08/29/20,10/13/20,09/08/20,Activated
361,Jordan Romano,TOR,RP,08/28/20,Finger discomfort,10-Day IL,08/29/20,09/08/20,09/28/20,No timetable for return
362,Shawn Armstrong,BAL,RP,08/29/20,SI joint inflammation,Active roster,08/26/20,09/05/20,09/22/20,Activated
363,Nathan Eovaldi,BOS,SP,08/29/20,Strained calf,Active roster,08/26/20,09/05/20,09/12/20,Activated
364,Kyle Hart,BOS,SP,08/29/20,Hip impingement,45-Day IL,09/02/20,10/17/20,09/28/20,Out for 2020 season
365,Darwinzon Hernández,BOS,RP,08/29/20,Sprained SC joint,Active roster,08/30/20,09/09/20,09/18/20,Activated
366,Gio González,CHW,SP/RP,08/29/20,Strained groin,Active roster,08/27/20,09/06/20,09/08/20,Activated
367,Brendan Rodgers,COL,INF,08/29/20,Strained shoulder,10-Day IL,08/30/20,09/09/20,09/28/20,No timetable for return
368,Ian Kennedy,KCR,RP,08/29/20,Strained calf,Active roster,08/30/20,09/09/20,09/25/20,Activated
369,Hoby Milner,LAA,RP,08/29/20,Back spasms,Active roster,08/26/20,09/05/20,09/08/20,Activated
370,Franklin Barreto,LAA,INF,08/29/20,COVID-19 protocol,,08/29/20,,09/02/20,Activated
371,Dellin Betances,NYM,RP,08/29/20,Lat tightness,Active roster,08/30/20,09/09/20,09/23/20,Activated
372,Steven Matz,NYM,SP/RP,08/29/20,Shoulder bursitis,Active roster,08/30/20,09/09/20,09/13/20,Activated
373,Luis Perdomo,SDP,RP,08/29/20,Forearm inflammation,Active roster,09/01/20,09/11/20,09/11/20,Activated
374,Adrian Morejon,SDP,SP,08/29/20,COVID-19 protocol,Active roster,08/26/20,,08/31/20,Activated
375,Jose Quintana,CHC,SP,08/30/20,Strained lat,Active roster,08/31/20,09/10/20,09/22/20,Activated
376,Tyler Chatwood,CHC,SP,08/30/20,Strained forearm,10-Day IL,08/31/20,09/10/20,09/28/20,No timetable for return
377,David Fletcher,LAA,INF/OF,08/30/20,Sprained ankle,Active roster,08/31/20,09/10/20,09/12/20,Activated
378,Daniel Mengden,OAK,SP/RP,08/30/20,COVID-19,Designated for assignment,09/03/20,,09/20/20,Activated
379,Adam Morgan,PHI,RP,08/30/20,Shoulder fatigue,Active roster,08/31/20,09/10/20,09/11/20,Activated
380,Scott Kingery,PHI,INF/OF,08/30/20,Back spasms,Active roster,08/31/20,09/10/20,09/14/20,Activated
381,Emilio Pagán,SDP,RP,08/30/20,Biceps inflammation,Active roster,08/31/20,09/10/20,09/10/20,Activated
382,Joey Rickard,SFG,OF,08/30/20,Elbow inflammation,45-Day IL,08/31/20,10/15/20,09/28/20,Out for 2020 season
383,Colten Brewer,BOS,SP/RP,08/31/20,Strained finger,45-Day IL,09/01/20,10/16/20,09/28/20,Out for 2020 season
384,Yandy Díaz,TBR,1B/3B,08/31/20,Strained hamstring,Active roster,09/01/20,09/11/20,09/28/20,Activated
385,Manuel Rodríguez,CHC,RP,Sep'20,Strained biceps,45-Day IL,09/25/20,11/09/20,09/28/20,Out for 2020 season
386,Matt Bowman,CIN,RP,09/01/20,Tommy John surgery,45-Day IL,07/20/20,09/03/20,09/28/20,Out for 2020 season
387,Jefry Rodriguez,CLE,SP,Sep'20,Strained shoulder,45-Day IL,09/09/20,10/24/20,09/28/20,Out for 2020 season
388,Jon Gray,COL,SP,09/01/20,Shoulder inflammation,10-Day IL,09/02/20,09/12/20,09/28/20,Out for 2020 season
389,Scott Oberg,COL,RP,Sep'20,Thoracic outlet syndrome surgery,45-Day IL,07/20/20,09/03/20,09/28/20,Out for 2020 season
390,Niko Goodrum,DET,SS,09/01/20,Strained oblique,Active roster,09/02/20,09/12/20,09/15/20,Activated
391,JaCoby Jones,DET,OF,09/01/20,Fractured hand,45-Day IL,09/02/20,10/17/20,09/28/20,Out for 2020 season
392,Elieser Hernández,MIA,SP,09/01/20,Strained lat,45-Day IL,09/02/20,10/17/20,09/28/20,Out for 2020 season
393,Manny Piña,MIL,C,09/01/20,Knee surgery (torn meniscus),10-Day IL,08/28/20,09/07/20,09/28/20,No timetable for return
394,Franklyn Kilome,NYM,RP,09/01/20,Split fingernail,Active roster,09/02/20,09/12/20,09/18/20,Activated
395,Ben Heller,NYY,RP,Sep'20,Biceps nerve injury,45-Day IL,09/22/20,11/06/20,09/28/20,Out for 2020 season
396,Yadiel Rivera,TEX,INF/OF,09/01/20,Torn elbow ligament,10-Day IL,09/04/20,09/14/20,09/28/20,Out for 2020 season
397,Trent Thornton,TOR,SP,09/01/20,Elbow surgery (loose bodies),45-Day IL,08/24/20,10/08/20,09/28/20,Out for 2020 season
398,Javy Guerra,WSN,RP,09/01/20,Strained hamstring,10-Day IL,09/02/20,09/12/20,09/28/20,No timetable for return
399,Jace Fry,CHW,RP,09/02/20,Back spasms,Active roster,09/03/20,09/13/20,09/15/20,Activated
400,Austin Pruitt,HOU,SP/RP,09/02/20,Elbow surgery (hairline fracture),45-Day IL,07/20/20,09/03/20,09/28/20,Out for 2020 season
401,Max Kepler,MIN,OF,09/02/20,Strained groin,Active roster,09/04/20,09/14/20,09/13/20,Activated
402,Wil Myers,SDP,OF,09/02/20,Undisclosed,Active roster,09/02/20,,09/03/20,Activated
403,Dexter Fowler,STL,OF,09/02/20,COVID-19 protocol,Active roster,09/02/20,,09/21/20,Activated
404,Jalen Beeks,TBR,RP,09/02/20,Tommy John surgery,45-Day IL,08/26/20,10/10/20,09/28/20,Out for 2020 season
405,Jose Altuve,HOU,2B,09/03/20,Sprained knee,Active roster,09/04/20,09/14/20,09/15/20,Activated
406,Gio Urshela,NYY,3B,09/03/20,Elbow bone spur,Active roster,09/04/20,09/14/20,09/15/20,Activated
407,Alex Cobb,BAL,SP,09/04/20,Undisclosed,Active roster,09/04/20,,09/11/20,Activated
408,Anthony Santander,BAL,OF,09/04/20,Strained oblique,10-Day IL,09/05/20,09/15/20,09/28/20,No timetable for return
409,Zack Godley,BOS,SP,09/04/20,Strained flexor,45-Day IL,09/07/20,10/22/20,09/28/20,Out for 2020 season
410,Lance McCullers Jr.,HOU,SP,09/04/20,Neck nerve irritation,Active roster,09/05/20,09/15/20,09/16/20,Activated
411,Alex Avila,MIN,C,09/04/20,Lower back tightness,Active roster,09/05/20,09/15/20,09/16/20,Activated
412,Jonathan Loáisiga,NYY,RP,09/04/20,Undisclosed medical condition,Active roster,09/02/20,09/12/20,09/15/20,Activated
413,Luis Campusano,SDP,C,09/04/20,Sprained wrist,Active roster,09/06/20,09/16/20,09/30/20,Activated
414,Sam Haggerty,SEA,INF/OF,09/04/20,Strained forearm,10-Day IL,09/05/20,09/15/20,09/28/20,No timetable for return
415,Max Fried,ATL,SP,09/05/20,Lumbar spasm,Active roster,09/06/20,09/16/20,09/17/20,Activated
416,Josh Taylor,BOS,RP,09/05/20,Shoulder tendinitis,10-Day IL,09/08/20,09/18/20,09/28/20,No timetable for return
417,Blake Taylor,HOU,RP,09/05/20,Elbow soreness,Active roster,09/06/20,09/16/20,09/18/20,Activated
418,Jorge Soler,KCR,OF,09/05/20,Strained oblique,,09/06/20,09/16/20,09/21/20,Activated
419,Brandon Leibrandt,MIA,RP,09/05/20,Elbow ulnar neuritis,45-Day IL,09/06/20,10/21/20,09/28/20,Out for 2020 season
420,Jay Bruce,PHI,OF,09/05/20,Strained quad,Active roster,09/06/20,09/16/20,09/18/20,Activated
421,Roman Quinn,PHI,OF,09/05/20,Concussion,Active roster,09/06/20,09/13/20,09/15/20,Activated
422,Anthony Alford,PIT,OF,09/05/20,Fractured elbow,45-Day IL,09/06/20,10/21/20,09/28/20,Out for 2020 season
423,Kwang Hyun Kim,STL,SP,09/05/20,Kidney ailment,Active roster,09/02/20,09/12/20,09/14/20,Activated
424,Cody Reed,TBR,RP,09/05/20,Finger discomfort,45-Day IL,09/07/20,10/22/20,09/28/20,Out for 2020 season
425,Joely Rodríguez,TEX,RP,09/05/20,Strained hamstring,10-Day IL,09/06/20,09/16/20,09/28/20,Out for 2020 season
426,Teoscar Hernández,TOR,OF,09/05/20,Strained oblique,Active roster,09/06/20,09/16/20,09/16/20,Activated
427,Howie Kendrick,WSN,INF,09/05/20,Strained hamstring,10-Day IL,09/06/20,09/16/20,09/28/20,No timetable for return
428,Dallas Keuchel,CHW,SP,09/06/20,Back spasms,Active roster,09/07/20,09/17/20,09/19/20,Activated
429,Wilmer Font,TOR,RP,09/06/20,Shin contusion,Active roster,09/07/20,09/17/20,09/17/20,Activated
430,Dakota Bacus,WSN,RP,09/06/20,Strained flexor,10-Day IL,09/07/20,09/17/20,09/28/20,Out for 2020 season
431,Jon Berti,MIA,INF/OF,09/07/20,Finger laceration,Active roster,09/08/20,09/18/20,09/20/20,Activated
432,Eric Hosmer,SDP,1B,09/07/20,Fractured finger,Active roster,09/08/20,09/18/20,09/19/20,Activated
433,Shin-Soo Choo,TEX,OF,09/07/20,Sprained hand,Active roster,09/08/20,09/18/20,09/27/20,Activated
434,Ketel Marte,ARI,2B,09/08/20,Wrist inflammation,Active roster,09/09/20,09/19/20,09/22/20,Activated
435,Austin Brice,BOS,RP,09/08/20,Strained lat,10-Day IL,09/09/20,09/19/20,09/28/20,No timetable for return
436,Walker Buehler,LAD,SP,09/08/20,Blister on hand,Active roster,09/09/20,09/19/20,09/24/20,Activated
437,Luis Arraez,MIN,2B,09/08/20,Knee tendinitis,Active roster,09/09/20,09/19/20,09/26/20,Activated
438,Robert Gsellman,NYM,RP,09/08/20,Fractured rib,45-Day IL,09/09/20,10/24/20,09/28/20,Out for 2020 season
439,Rowdy Tellez,TOR,1B,09/08/20,Strained knee,Active roster,09/09/20,09/19/20,09/28/20,Activated
440,Merrill Kelly,ARI,SP,09/09/20,Thoracic outlet syndrome surgery,45-Day IL,08/21/20,10/05/20,09/28/20,Out for 2020 season
441,Tommy Milone,ATL,SP,09/09/20,Elbow inflammation,Released,09/10/20,09/20/20,09/30/20,Activated
442,Tyler Bashlor,PIT,RP,09/09/20,Lower back inflammation,10-Day IL,09/10/20,09/20/20,09/28/20,No timetable for return
443,Trevor Gott,SFG,RP,09/09/20,Elbow inflammation,10-Day IL,09/10/20,09/20/20,09/28/20,No timetable for return
444,Danny Santana,TEX,INF/OF,09/09/20,Elbow surgery,10-Day IL,08/27/20,09/06/20,09/28/20,Out for 2020 season
445,Jose Trevino,TEX,C,09/09/20,Wrist impingement,10-Day IL,09/10/20,09/20/20,09/28/20,No timetable for return
446,Sonny Gray,CIN,SP,09/10/20,Strained back,Active roster,09/11/20,09/21/20,09/22/20,No timetable for return
447,Matt Strahm,SDP,RP,09/10/20,Knee inflammation,Active roster,09/11/20,09/21/20,09/22/20,Activated
448,Giovanny Gallegos,STL,RP,09/10/20,Strained groin,Active roster,09/11/20,09/21/20,09/21/20,Activated
449,Johan Oviedo,STL,SP,09/10/20,COVID-19 protocol,Active roster,09/10/20,,09/16/20,Activated
450,Sean Doolittle,WSN,RP,09/10/20,Strained oblique,10-Day IL,09/11/20,09/21/20,09/28/20,No timetable for return
451,Tanner Rainey,WSN,RP,09/10/20,Strained flexor,10-Day IL,09/12/20,09/22/20,09/28/20,No timetable for return
452,Chris Davis,BAL,1B,09/11/20,Patellar tendinitis,10-Day IL,09/12/20,09/22/20,09/28/20,Out for 2020 season
453,Andrew Triggs,BOS,RP,09/11/20,Radial nerve irritation,Active roster,09/12/20,09/22/20,09/26/20,Activated
454,Jonathan Schoop,DET,2B,09/12/20,Sprained wrist,45-Day IL,09/13/20,10/28/20,09/28/20,Out for 2020 season
455,Brent Rooker,MIN,OF/1B,09/12/20,Fractured forearm,10-Day IL,09/13/20,09/23/20,09/28/20,Out for 2020 season
456,Chad Pinder,OAK,INF/OF,09/12/20,Strained hamstring,Active roster,09/13/20,09/23/20,09/27/20,Activated
457,Rhys Hoskins,PHI,1B,09/12/20,Strained elbow,10-Day IL,09/13/20,09/23/20,09/28/20,No timetable for return
458,Spencer Howard,PHI,SP,09/12/20,Shoulder tightness,Active roster,09/13/20,09/23/20,09/24/20,Activated
459,Kyle Crick,PIT,RP,09/12/20,Strained lat,10-Day IL,09/13/20,09/23/20,09/28/20,No timetable for return
460,Ji Man Choi,TBR,1B,09/12/20,Strained hamstring,Active roster,09/13/20,09/23/20,09/28/20,Activated
461,Elvis Andrus,TEX,SS,09/12/20,Strained back,10-Day IL,09/13/20,09/23/20,09/28/20,Out for 2020 season
462,Javy Guerra,SDP,RP,09/13/20,TBD,10-Day IL,09/10/20,09/20/20,09/28/20,No timetable for return
463,Austin Dean,STL,OF/1B,09/13/20,Strained elbow,Active roster,09/14/20,09/24/20,09/27/20,Activated
464,Evan Marshall,CHW,RP,09/14/20,Shoulder inflammation,Active roster,09/15/20,09/25/20,09/25/20,Activated
465,Isan Díaz,MIA,2B,09/14/20,Strained groin,45-Day IL,09/15/20,10/30/20,09/28/20,Out for 2020 season
466,Chris Devenski,HOU,RP,09/15/20,Arthroscopic elbow surgery,10-Day IL,09/07/20,09/17/20,09/28/20,No timetable for return
467,Matt Harvey,KCR,RP,09/15/20,Strained lat,45-Day IL,09/16/20,10/31/20,09/28/20,Out for 2020 season
468,Matt Chapman,OAK,3B,09/15/20,Hip surgery,10-Day IL,09/09/20,09/19/20,09/28/20,Out for 2020 season
469,Jake Arrieta,PHI,SP,09/15/20,Strained hamstring,10-Day IL,09/16/20,09/26/20,09/28/20,No timetable for return
470,Kyle Garlick,PHI,OF,09/15/20,Strained oblique,10-Day IL,09/16/20,09/26/20,09/28/20,No timetable for return
