"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp","bat_speed","swing_length"
797,663568,"Kolek, Stephen",797,100,0.303,0.108,0.362,0.41,0.335,0.33,0.284,59,195,86.9,2.7,2268,92.4,92.49,82,393,404,0.09999999999999432,6.39,112,148,118,149,298,325,296,"-1","1","68.498815589","6.743223867"
796,571858,"Kline, Branden",796,100,0.26,0.215,0.289,0.475,0.345,0.374,0.288,46,177,90.1,12.4,2132,92.1,91.96,96,368,428,-0.09999999999999432,6.11,107,154,119,147,300,324,298,"-3.8","3.8",,
787,681035,"Scott, Christian",787,100,0.25,0.183,0.276,0.433,0.318,0.327,0.253,45,180,88.9,21.6,2223,89.9,90.84,87,403,384,0.8999999999999915,6.95,113,149,121,150,298,325,301,"-4.2","4.2","70.587780234","7.11074561"
786,542669,"Mendez, Roman",786,100,0.207,0.128,0.231,0.335,0.292,0.39,0.267,34,164,88.6,26.2,1913,91,88.13,75,352,428,-2.9000000000000057,5.47,114,149,109,147,286,312,296,"3.8","-3.8",,
786,701581,"Festa, David",786,100,0.238,0.205,0.303,0.443,0.316,0.302,0.241,44,185,88.8,15.1,2256,90.3,91.35,108,380,406,1.1000000000000085,6.88,113,148,115,147,295,323,297,"1","-1","69.527109235","7.341621393"
784,623454,"Anderson, Drew",784,100,0.29,0.131,0.327,0.421,0.336,0.35,0.277,53,183,89,16.3,2261,87.6,87.29,77,365,419,-0.29999999999999716,6.15,112,154,118,148,297,322,295,"-8.9","8.9",,
781,425899,"Manning, Charlie",781,100,0.224,0.205,0.243,0.429,0.345,,,35,156,,,,84.7,,89,335,441,,,,,,,,,,"-0.7","0.7",,
779,446911,"Vasquez, Virgil",779,100,0.32,0.221,0.351,0.541,0.398,,,58,181,,,,85.7,,62,374,401,,,,,,,,,,"-10.7","10.7",,
779,573244,"Wilk, Adam",779,100,0.347,0.29,0.346,0.636,0.437,0.462,0.341,61,176,90.6,12.9,2041,85,84.71,67,370,409,-0.29999999999999716,5.95,109,149,114,146,287,309,292,"-15","15",,
772,571786,"Hollands, Mario",772,100,0.253,0.107,0.298,0.36,0.309,,,45,178,,,,90.8,,70,344,420,,,,,,,,,,"-5.4","5.4",,
