mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.346136474609375,0.01641798328215603,0.012426376342773438,0.0023168117041616155,,2,2,100,"{'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",0.6476190476190476,0.648854961832061,0.6545801526717557,0.6125954198473282,0.6259541984732825,0.637920756088695,0.015973229887902674,84
0.7685724258422851,0.08501844839809287,0.02254314422607422,0.00483680822757991,,2,2,200,"{'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 200}",0.6457142857142857,0.6507633587786259,0.6412213740458015,0.6068702290076335,0.6259541984732825,0.6341046892039258,0.0159441997453915,91
0.18101539611816406,0.013244816655773527,0.005009984970092774,0.0007085062190064106,,2,5,50,"{'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 50}",0.6495238095238095,0.6507633587786259,0.6622137404580153,0.601145038167939,0.6221374045801527,0.6371566703017084,0.022308567235111407,87
0.36615872383117676,0.042820786891147766,0.011725854873657227,0.0014029702697361795,,2,5,100,"{'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",0.6419047619047619,0.648854961832061,0.648854961832061,0.5954198473282443,0.6278625954198473,0.6325794256633952,0.020098909426943107,93
0.6978180408477783,0.037031896595735435,0.019643163681030272,0.0034750852284018115,,2,5,200,"{'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 200}",0.6495238095238095,0.648854961832061,0.6564885496183206,0.6030534351145038,0.6183206106870229,0.6352482733551436,0.020799690443338306,90
0.17841591835021972,0.015291811017783328,0.006412410736083984,0.001910915535959148,,2,10,50,"{'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 50}",0.6495238095238095,0.6679389312977099,0.6698473282442748,0.6049618320610687,0.6469465648854962,0.6478436932024719,0.023368612257376745,65
0.3392951965332031,0.023662789615541985,0.009719562530517579,0.0015318158507860722,,2,10,100,"{'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 100}",0.6476190476190476,0.6603053435114504,0.6755725190839694,0.6183206106870229,0.6297709923664122,0.6463177026535806,0.020546642839038284,70
0.7632512092590332,0.027414471452048707,0.029668760299682618,0.008770352094629414,,2,10,200,"{'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 200}",0.6685714285714286,0.6526717557251909,0.6717557251908397,0.6145038167938931,0.6240458015267175,0.6463097055616139,0.023198516727585113,73
0.1737971305847168,0.016907156226085726,0.005309247970581054,0.0009815433932880081,,4,2,50,"{'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 50}",0.6704761904761904,0.6545801526717557,0.6812977099236641,0.6240458015267175,0.6393129770992366,0.6539425663395129,0.020639343747049354,53
0.31965203285217286,0.010517240877251395,0.010527610778808594,0.002698194699347842,,4,2,100,"{'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 100}",0.6685714285714286,0.6603053435114504,0.6793893129770993,0.6297709923664122,0.6393129770992366,0.6554700109051255,0.018377431230445683,48
0.6375310897827149,0.03753268463639832,0.019643640518188475,0.0036771564829562345,,4,2,200,"{'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 200}",0.6761904761904762,0.6526717557251909,0.683206106870229,0.6183206106870229,0.6335877862595419,0.6527953471464921,0.024615440251901637,58
0.17748727798461914,0.022712168262580358,0.005416059494018554,0.0009763733486931,,4,5,50,"{'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 50}",0.6666666666666666,0.6583969465648855,0.6793893129770993,0.6278625954198473,0.6393129770992366,0.6543256997455471,0.018561987798944853,50
0.31801629066467285,0.019064876280784553,0.009020280838012696,0.0012660266798509253,,4,5,100,"{'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 100}",0.6704761904761904,0.6622137404580153,0.6870229007633588,0.6297709923664122,0.6354961832061069,0.6569960014540167,0.021512778914096867,42
0.6669561386108398,0.0673784315372308,0.019538736343383788,0.0027797174535491857,,4,5,200,"{'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 200}",0.6723809523809524,0.6545801526717557,0.6870229007633588,0.6335877862595419,0.6354961832061069,0.6566135950563432,0.020753810601985497,43
0.16889986991882325,0.021586182198647417,0.005405712127685547,0.0018343332698536633,,4,10,50,"{'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 50}",0.6819047619047619,0.6641221374045801,0.6717557251908397,0.6450381679389313,0.6393129770992366,0.6604267539076699,0.016036872676933392,38
0.32186174392700195,0.03347122140762788,0.00972299575805664,0.001723894536591244,,4,10,100,"{'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 100}",0.6742857142857143,0.6583969465648855,0.6774809160305344,0.6278625954198473,0.6431297709923665,0.6562311886586696,0.018754367723392867,46
0.6680575847625733,0.058270819737767605,0.017832231521606446,0.0013300512236107767,,4,10,200,"{'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 200}",0.6666666666666666,0.6641221374045801,0.6774809160305344,0.6297709923664122,0.6431297709923665,0.656234096692112,0.01728876095706674,45
0.1424039840698242,0.014171932123678583,0.004108715057373047,0.0013573757671833206,10,1,2,50,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 50}",0.6895238095238095,0.6870229007633588,0.6889312977099237,0.6545801526717557,0.6603053435114504,0.6760727008360596,0.01534093804523609,26
0.28100061416625977,0.022130763311478698,0.007317924499511718,0.001287250109570471,10,1,2,100,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",0.6895238095238095,0.6889312977099237,0.6889312977099237,0.666030534351145,0.6603053435114504,0.6787444565612505,0.01284821095324912,25
0.5902976989746094,0.056307766177393116,0.020247650146484376,0.0034982819481781473,10,1,2,200,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",0.6895238095238095,0.6870229007633588,0.6927480916030534,0.6698473282442748,0.6641221374045801,0.6806528535078153,0.011450677694903736,21
0.14432430267333984,0.013425197828244955,0.004409360885620117,0.0013577343665651703,10,1,5,50,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 50}",0.6838095238095238,0.6889312977099237,0.6946564885496184,0.6736641221374046,0.6717557251908397,0.682563431479462,0.008767539195383258,13
0.27590155601501465,0.03293388659126231,0.0070130348205566405,0.0011463267275123252,10,1,5,100,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100}",0.6933333333333334,0.6908396946564885,0.6965648854961832,0.6603053435114504,0.6717557251908397,0.6825597964376591,0.014090826532499852,14
0.5373523235321045,0.039305876315550534,0.016536760330200195,0.005108977233090757,10,1,5,200,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 200}",0.6914285714285714,0.6889312977099237,0.6946564885496184,0.666030534351145,0.6641221374045801,0.6810338058887677,0.013168915660157132,19
